l_l_m,l_l_n,u_r_m,u_r_n,n,u,id,hit
2.0,6.0,8.0,13.0,0.0,0.0,0.0,3.0
1.0,9.0,2.0,11.0,1.0,1.0,1.0,1.0
1.0,11.0,2.0,12.0,3.0,3.0,7.0,0.0
