l_l_m,l_l_n,u_r_m,u_r_n,tile_ind
2.0,9.0,5.0,10.0,0.0
1.0,10.0,2.0,15.0,1.0
2.0,10.0,8.0,16.0,2.0
2.0,10.0,8.0,16.0,3.0
